rank,keyword_id,surface_form,canonical_concept,tf,df,prevalence,character_count,chapter_count,max_chapter_share,quartile_1_df,quartile_2_df,quartile_3_df,quartile_4_df,story_local_flag,frequency_tier,include_core,include_main,include_extended,word_type,semantic_categories,segmentation_source,notes
168,lpw_327b54d04f,水,水,14,14,0.004934790271413465,1,6,0.35714285714285715,2,0,1,11,false,exploratory,false,false,false,noun_or_entity,concrete_entity,intl_zh_word,
169,lpw_653b04330b,喜欢,喜欢,14,14,0.004934790271413465,2,10,0.14285714285714285,5,2,3,4,false,exploratory,false,false,false,other,emotion_social,intl_zh_word,
170,lpw_ab158a8483,比,比,13,13,0.004582305252026789,1,8,0.3076923076923077,2,5,4,2,false,exploratory,false,false,false,other,other,intl_zh_word,
171,lpw_3966c0d55d,别的,别的,13,13,0.004582305252026789,2,7,0.3076923076923077,4,2,5,2,false,exploratory,false,false,false,other,other,intl_zh_word,
172,lpw_c7ae73a94d,不会,不会,13,13,0.004582305252026789,2,13,0.07692307692307693,2,3,4,4,false,exploratory,false,false,false,verb_or_predicate,negation_modality,intl_zh_word,
173,lpw_c8ae97be80,家,家,13,13,0.004582305252026789,1,1,1,0,0,13,0,true,exploratory,false,false,false,other,other,intl_zh_word,保留在主表，但因章节/全文位置集中而不进入通用嵌套评估集
174,lpw_e9c1d16595,看到,看到,13,13,0.004582305252026789,2,8,0.15384615384615385,2,2,5,4,false,exploratory,false,false,false,other,other,intl_zh_word,
175,lpw_64f62e9803,路灯,路灯,13,13,0.004582305252026789,2,2,0.8461538461538461,0,9,4,0,true,exploratory,false,false,false,other,other,intl_zh_word,保留在主表，但因章节/全文位置集中而不进入通用嵌套评估集
176,lpw_85217f7aff,日,日,13,13,0.004582305252026789,1,4,0.38461538461538464,5,6,2,0,false,exploratory,false,false,false,other,other,intl_zh_word,
177,lpw_754a9d5828,四,四,13,13,0.004582305252026789,1,8,0.23076923076923078,0,7,5,1,false,exploratory,false,false,false,other,other,intl_zh_word,
178,lpw_ae99f297e9,所有,所有,13,13,0.004582305252026789,2,9,0.3076923076923077,1,3,5,4,false,exploratory,false,false,false,other,other,intl_zh_word,
179,lpw_e8635424ab,探险,探险,13,13,0.004582305252026789,2,1,1,0,0,13,0,true,exploratory,false,false,false,other,other,intl_zh_word,保留在主表，但因章节/全文位置集中而不进入通用嵌套评估集
180,lpw_260bd80462,望,望,13,13,0.004582305252026789,1,8,0.38461538461538464,3,0,3,7,false,exploratory,false,false,false,other,other,intl_zh_word,
181,lpw_1d8fb5e34e,笑,笑,13,13,0.004582305252026789,1,5,0.6153846153846154,1,0,1,11,false,exploratory,false,false,false,other,other,intl_zh_word,
182,lpw_af76fed85c,些,些,13,13,0.004582305252026789,1,11,0.15384615384615385,3,5,4,1,false,exploratory,false,false,false,other,other,intl_zh_word,
183,lpw_bd49c65dde,养,养,13,13,0.004582305252026789,1,2,0.9230769230769231,0,0,11,2,true,exploratory,false,false,false,other,other,intl_zh_word,保留在主表，但因章节/全文位置集中而不进入通用嵌套评估集
184,lpw_941252022a,也不,也不,13,13,0.004582305252026789,2,10,0.23076923076923078,3,3,3,4,false,exploratory,false,false,false,other,other,intl_zh_word,
185,lpw_41f8d30e7f,夜里,夜里,13,13,0.004582305252026789,2,5,0.5384615384615384,1,2,0,10,false,exploratory,false,false,false,other,other,intl_zh_word,
186,lpw_3617c85a66,于是,于是,13,13,0.004582305252026789,2,9,0.23076923076923078,5,3,1,4,false,exploratory,false,false,false,other,other,intl_zh_word,
187,lpw_a567bdaa11,中,中,13,13,0.004582305252026789,1,10,0.23076923076923078,4,2,2,5,false,exploratory,false,false,false,other,other,intl_zh_word,
188,lpw_39eae64cfc,开,开,15,12,0.0042298202326401125,1,7,0.3333333333333333,8,0,0,4,true,exploratory,false,false,false,other,other,intl_zh_word,保留在主表，但因章节/全文位置集中而不进入通用嵌套评估集
189,lpw_148b16e603,一点,一点,15,12,0.0042298202326401125,2,11,0.16666666666666666,5,1,4,2,false,exploratory,false,false,false,other,other,intl_zh_word,
190,lpw_abc511ca95,满,满,13,12,0.0042298202326401125,1,6,0.4166666666666667,2,2,0,8,false,exploratory,false,false,false,other,other,intl_zh_word,
191,lpw_08dddeac13,点,点,12,12,0.0042298202326401125,1,8,0.25,1,5,5,1,false,exploratory,false,false,false,other,other,intl_zh_word,
192,lpw_ef4e15ff45,都是,都是,12,12,0.0042298202326401125,2,9,0.25,2,5,1,4,false,exploratory,false,false,false,other,other,intl_zh_word,
193,lpw_036f781126,话,话,12,12,0.0042298202326401125,1,8,0.25,3,5,1,3,false,exploratory,false,false,false,other,other,intl_zh_word,
194,lpw_b30391caa1,可不是,可不是,12,12,0.0042298202326401125,3,6,0.4166666666666667,0,1,3,8,false,exploratory,false,false,false,other,other,intl_zh_word,
195,lpw_e9ce9aefa3,落,落,12,12,0.0042298202326401125,1,3,0.4166666666666667,5,5,2,0,false,exploratory,false,false,false,other,other,intl_zh_word,
196,lpw_7d2bda9879,蟒蛇,蟒蛇,12,12,0.0042298202326401125,2,4,0.5,11,0,0,1,true,exploratory,false,false,false,other,other,intl_zh_word,保留在主表，但因章节/全文位置集中而不进入通用嵌套评估集
197,lpw_ca4f5ee82e,然后,然后,12,12,0.0042298202326401125,2,11,0.16666666666666666,4,4,2,2,false,exploratory,false,false,false,other,other,intl_zh_word,
198,lpw_a4c3313deb,三,三,12,12,0.0042298202326401125,1,8,0.25,0,4,5,3,false,exploratory,false,false,false,other,other,intl_zh_word,
199,lpw_a9b1124b34,晚上,晚上,12,12,0.0042298202326401125,2,8,0.25,2,4,3,3,false,exploratory,false,false,false,noun_or_entity,time_quantity,custom_phrase,
200,lpw_3e63e3d08e,我不,我不,12,12,0.0042298202326401125,2,7,0.3333333333333333,5,2,1,4,false,exploratory,false,false,false,other,other,intl_zh_word,
201,lpw_42230da180,我想,我想,12,12,0.0042298202326401125,2,7,0.3333333333333333,1,6,2,3,false,exploratory,false,false,false,other,other,intl_zh_word,
202,lpw_577fd55103,虚荣的人,虚荣的人,12,12,0.0042298202326401125,4,3,0.75,0,10,2,0,true,exploratory,false,false,false,noun_or_entity,narrative_character,custom_phrase,保留在主表，但因章节/全文位置集中而不进入通用嵌套评估集
203,lpw_5448481f38,一天,一天,12,12,0.0042298202326401125,2,7,0.3333333333333333,4,5,2,1,false,exploratory,false,false,false,noun_or_entity,time_quantity,intl_zh_word,
204,lpw_aa98317793,以前,以前,12,12,0.0042298202326401125,2,9,0.16666666666666666,3,5,4,0,false,exploratory,false,false,false,other,other,intl_zh_word,
205,lpw_c277be8a4b,找,找,12,12,0.0042298202326401125,1,5,0.3333333333333333,0,1,4,7,false,exploratory,false,false,false,other,other,intl_zh_word,
206,lpw_cbba0a98ab,住,住,12,12,0.0042298202326401125,1,12,0.08333333333333333,4,4,2,2,false,exploratory,false,false,false,other,other,intl_zh_word,
207,lpw_057c8f7842,远,远,15,11,0.0038773352132534366,1,5,0.2727272727272727,5,0,3,3,false,exploratory,false,false,false,other,other,intl_zh_word,
208,lpw_9482d0359c,转,转,12,11,0.0038773352132534366,1,5,0.45454545454545453,0,0,9,2,true,exploratory,false,false,false,other,other,intl_zh_word,保留在主表，但因章节/全文位置集中而不进入通用嵌套评估集
209,lpw_c814805bc6,吃,吃,11,11,0.0038773352132534366,1,3,0.5454545454545454,11,0,0,0,true,exploratory,false,false,false,other,other,intl_zh_word,保留在主表，但因章节/全文位置集中而不进入通用嵌套评估集
210,lpw_b2ddecd32a,刺,刺,11,11,0.0038773352132534366,1,5,0.6363636363636364,7,2,1,1,false,exploratory,false,false,false,other,other,intl_zh_word,
211,lpw_8cb1f721c8,但是,但是,11,11,0.0038773352132534366,2,9,0.18181818181818182,2,3,2,4,false,exploratory,false,false,false,other,other,intl_zh_word,
212,lpw_10493d06b9,发现,发现,11,11,0.0038773352132534366,2,7,0.2727272727272727,1,4,3,3,false,exploratory,false,false,false,verb_or_predicate,perception,intl_zh_word,
213,lpw_bd957bc497,分钟,分钟,11,11,0.0038773352132534366,2,6,0.36363636363636365,1,2,4,4,false,exploratory,false,false,false,noun_or_entity,time_quantity,custom_phrase,
214,lpw_1c31582177,酒鬼,酒鬼,11,11,0.0038773352132534366,2,5,0.5454545454545454,0,8,3,0,true,exploratory,false,false,false,noun_or_entity,narrative_character,custom_phrase,保留在主表，但因章节/全文位置集中而不进入通用嵌套评估集
215,lpw_8e80d04a82,你会,你会,11,11,0.0038773352132534366,2,3,0.7272727272727273,0,2,1,8,true,exploratory,false,false,false,other,other,intl_zh_word,保留在主表，但因章节/全文位置集中而不进入通用嵌套评估集
216,lpw_1ec687a275,人们,人们,11,11,0.0038773352132534366,2,6,0.2727272727272727,0,0,6,5,true,exploratory,false,false,false,other,other,intl_zh_word,保留在主表，但因章节/全文位置集中而不进入通用嵌套评估集
217,lpw_473400815c,声音,声音,11,11,0.0038773352132534366,2,8,0.18181818181818182,3,2,2,4,false,exploratory,false,false,false,other,other,intl_zh_word,
218,lpw_1f2eb2608d,听,听,11,11,0.0038773352132534366,1,7,0.2727272727272727,3,3,2,3,false,exploratory,false,false,false,verb_or_predicate,perception,intl_zh_word,
219,lpw_30bc5c7b4c,我要,我要,11,11,0.0038773352132534366,2,5,0.36363636363636365,3,1,2,5,false,exploratory,false,false,false,other,other,intl_zh_word,
220,lpw_43584f37c1,现在,现在,11,11,0.0038773352132534366,2,8,0.18181818181818182,1,2,3,5,false,exploratory,false,false,false,other,other,intl_zh_word,
221,lpw_68cf5e71c2,小行星,小行星,11,11,0.0038773352132534366,3,4,0.5454545454545454,8,3,0,0,true,exploratory,false,false,false,noun_or_entity,place,custom_phrase,保留在主表，但因章节/全文位置集中而不进入通用嵌套评估集
222,lpw_256c0476ed,也是,也是,11,11,0.0038773352132534366,2,6,0.2727272727272727,3,1,5,2,false,exploratory,false,false,false,other,other,intl_zh_word,
223,lpw_dc50d5e51e,一张,一张,11,11,0.0038773352132534366,2,4,0.45454545454545453,9,2,0,0,true,exploratory,false,false,false,other,other,intl_zh_word,保留在主表，但因章节/全文位置集中而不进入通用嵌套评估集
224,lpw_e2d5460909,一座,一座,11,11,0.0038773352132534366,2,7,0.2727272727272727,1,1,7,2,false,exploratory,false,false,false,other,other,intl_zh_word,
225,lpw_65eb352d08,意思,意思,11,11,0.0038773352132534366,2,5,0.45454545454545453,0,4,7,0,true,exploratory,false,false,false,other,other,intl_zh_word,保留在主表，但因章节/全文位置集中而不进入通用嵌套评估集
226,lpw_7ff9df9923,作,作,11,11,0.0038773352132534366,1,7,0.45454545454545453,2,0,2,7,false,exploratory,false,false,false,other,other,intl_zh_word,
227,lpw_c05f7cd6ed,飞机,飞机,11,10,0.0035248501938667607,2,6,0.4,6,0,0,4,true,exploratory,false,false,false,noun_or_entity,concrete_entity,intl_zh_word,保留在主表，但因章节/全文位置集中而不进入通用嵌套评估集
228,lpw_f66de6c4cd,走,走,11,10,0.0035248501938667607,1,7,0.3,0,5,2,3,false,exploratory,false,false,false,verb_or_predicate,physical_action,intl_zh_word,
229,lpw_001d9c64f7,座,座,11,10,0.0035248501938667607,1,5,0.3,0,4,6,0,true,exploratory,false,false,false,other,other,intl_zh_word,保留在主表，但因章节/全文位置集中而不进入通用嵌套评估集
230,lpw_23e89ba0a1,变得,变得,10,10,0.0035248501938667607,2,7,0.4,4,0,2,4,false,exploratory,false,false,false,other,other,intl_zh_word,
231,lpw_5b693ea232,并不,并不,10,10,0.0035248501938667607,2,9,0.2,3,3,1,3,false,exploratory,false,false,false,other,other,intl_zh_word,
232,lpw_00a9d5bd97,道,道,10,10,0.0035248501938667607,1,5,0.3,1,3,6,0,false,exploratory,false,false,false,other,other,intl_zh_word,
233,lpw_be65bd5518,风,风,10,10,0.0035248501938667607,1,6,0.4,0,5,3,2,false,exploratory,false,false,false,other,other,intl_zh_word,
234,lpw_83eec76b39,还有,还有,10,10,0.0035248501938667607,2,10,0.1,3,3,2,2,false,exploratory,false,false,false,other,other,intl_zh_word,
235,lpw_5f887419f4,孩子,孩子,10,10,0.0035248501938667607,2,7,0.2,6,0,0,4,true,exploratory,false,false,false,noun_or_entity,narrative_character,custom_phrase,保留在主表，但因章节/全文位置集中而不进入通用嵌套评估集
236,lpw_f92f065aad,看不见,看不见,10,10,0.0035248501938667607,3,6,0.4,1,0,1,8,false,exploratory,false,false,false,verb_or_predicate,perception,custom_phrase,
237,lpw_b4dcb3305a,们,们,10,10,0.0035248501938667607,1,6,0.3,4,0,4,2,false,exploratory,false,false,false,other,other,intl_zh_word,
238,lpw_642b100e13,你要,你要,10,10,0.0035248501938667607,2,8,0.2,3,1,5,1,false,exploratory,false,false,false,other,other,intl_zh_word,
239,lpw_da153c5b45,却,却,10,10,0.0035248501938667607,1,8,0.2,1,3,3,3,false,exploratory,false,false,false,other,other,intl_zh_word,
240,lpw_1be968f125,书,书,10,10,0.0035248501938667607,1,5,0.5,4,1,5,0,false,exploratory,false,false,false,other,other,intl_zh_word,
241,lpw_63e84e56ed,说不定,说不定,10,10,0.0035248501938667607,3,7,0.3,2,2,5,1,false,exploratory,false,false,false,other,other,intl_zh_word,
242,lpw_2ed64c1d92,为了,为了,10,10,0.0035248501938667607,2,7,0.4,5,1,2,2,false,exploratory,false,false,false,other,other,intl_zh_word,
243,lpw_5ebf3d1bfd,我把,我把,10,10,0.0035248501938667607,2,6,0.2,3,2,0,5,false,exploratory,false,false,false,other,other,intl_zh_word,
244,lpw_6af7322be2,我没,我没,10,10,0.0035248501938667607,2,7,0.2,2,4,0,4,false,exploratory,false,false,false,other,other,intl_zh_word,
245,lpw_a2f77db0e9,向,向,10,10,0.0035248501938667607,1,7,0.3,2,6,1,1,false,exploratory,false,false,false,other,other,intl_zh_word,
246,lpw_e6ad7a1dbc,以后,以后,10,10,0.0035248501938667607,2,9,0.2,4,0,3,3,false,exploratory,false,false,false,other,other,intl_zh_word,
247,lpw_25eba59465,走了,走了,10,10,0.0035248501938667607,2,8,0.2,0,5,3,2,false,exploratory,false,false,false,other,other,intl_zh_word,
